Accession1,Accession2,Similarity_Score
Q06486,P07332,0.07
Q06486,P51136,0.05
Q06486,O15111,0.06
Q06486,O43293,0.06
Q06486,P22694,0.06
Q06486,P11799,0.07
Q06486,Q9HBH9,0.05
Q06486,P11362,0.06
Q06486,Q9WV60,0.06
Q06486,P05480,0.07
Q06486,P27448,0.07
Q06486,P49138,0.06
Q06486,Q15418,0.06
Q06486,Q8N752,0.54
Q06486,Q9UQ88,0.06
Q06486,P06240,0.06
Q06486,Q9H4B4,0.06
Q06486,Q8NEV4,0.06
Q06486,Q8IVW4,0.05
Q06486,Q8N568,0.06
Q06486,P43405,0.07
Q06486,P49674,0.81
Q06486,Q86UX6,0.05
Q06486,Q96SB4,0.06
Q06486,Q13627,0.06
Q06486,Q86V86,0.07
Q06486,O00444,0.06
Q06486,Q13464,0.06
Q06486,O94806,0.06
Q06486,Q6DE08,0.06
Q06486,Q9WTQ0,0.06
Q06486,Q9BXA7,0.05
Q06486,Q8IU85,0.06
Q06486,P11440,0.06
Q06486,Q86Z02,0.06
Q06486,Q16644,0.06
Q06486,P08631,0.06
Q06486,Q9BZL6,0.07
Q06486,P49185,0.05
Q06486,O96017,0.07
Q06486,P05131,0.06
Q06486,Q15746,0.06
Q06486,Q64617,0.05
Q06486,Q00537,0.06
Q06486,P21127,0.06
Q06486,Q9Y2U5,0.07
Q06486,Q81ZY9,0.06
Q06486,P54645,0.06
Q06486,Q13177,0.07
Q06486,Q15349,0.06
Q06486,P49187,0.05
Q06486,P49137,0.06
Q06486,Q9HBY8,0.05
Q06486,Q9HAZ1,0.06
Q06486,Q9R117,0.06
Q06486,P06241,0.07
Q06486,Q8IY84,0.05
Q06486,O43283,0.05
Q06486,Q63644,0.06
Q06486,Q99558,0.05
Q06486,Q7L7X3,0.06
Q06486,Q13131,0.06
Q06486,P00516,0.06
Q06486,P40231,0.06
Q06486,Q9NQU5,0.06
Q06486,P68181,0.06
Q06486,Q14680,0.07
Q06486,P15056,0.07
Q06486,P51812,0.06
Q06486,Q86Y07,0.14
Q06486,P27361,0.05
Q06486,Q8BTH8,0.43
Q06486,P04049,0.06
Q06486,Q96RG2,0.06
Q06486,Q92630,0.06
Q06486,P09769,0.08
Q06486,Q9P0L2,0.07
Q06486,Q9UPZ9,0.08
Q06486,Q8TDC3,0.07
Q06486,Q9HCP0,0.42
Q06486,Q9Y463,0.06
Q06486,P31749,0.06
Q06486,O60285,0.07
Q06486,Q9DC28,1
Q06486,O75676,0.06
Q06486,P06493,0.06
Q06486,P42685,0.07
Q06486,Q15835,0.05
Q06486,Q9UEE5,0.06
Q06486,Q96L34,0.07
Q06486,O35493,0.06
Q06486,P43403,0.06
Q06486,Q8NG66,0.07
Q06486,P48729,0.57
Q06486,Q9H1R3,0.06
Q06486,P25911,0.06
Q06486,P42684,0.08
Q06486,P29597,0.06
Q06486,P43404,0.07
Q06486,Q99986,0.15
Q06486,Q00536,0.06
Q06486,P51817,0.07
Q06486,Q07785,0.06
Q06486,P49841,0.06
Q06486,Q9H2K8,0.06
Q06486,P48730,1
Q06486,Q16539,0.06
Q06486,P23298,0.05
Q06486,Q9Y2H9,0.05
Q06486,Q9Y6R4,0.07
Q06486,Q9P1W9,0.06
Q06486,P31750,0.06
Q06486,Q13557,0.07
Q06486,Q8IVH8,0.06
Q06486,P10398,0.06
Q06486,Q13554,0.06
Q06486,P41279,0.07
Q06486,Q9H093,0.06
Q06486,Q16620,0.05
Q06486,Q13043,0.06
Q06486,Q3U3Q1,0.06
Q06486,O60307,0.05
Q06486,P70618,0.06
Q06486,P54646,0.06
Q06486,O15264,0.06
P14649,P62158,0.29
P14649,P02585,0.21
P14649,P63316,0.2
P14649,P19105,0.16
Q6NUS8,O60656,0.22
Q6NUS8,O75795,0.23
Q6NUS8,P16662,0.24
Q75NA5,P15431,0.26
Q75NA5,P49582,0.05
Q75NA5,P48167,0.22
Q75NA5,P43144,0.05
Q75NA5,P28471,0.24
Q75NA5,Q27218,0.05
Q75NA5,Q9JLB5,0.05
Q75NA5,P30926,0.05
Q75NA5,P62812,0.18
Q75NA5,Q8QZW7,0.21
Q75NA5,Q61603,0.25
Q75NA5,P23576,0.18
Q75NA5,P28473,0.21
Q75NA5,P19969,0.18
Q75NA5,P02710,0.04
Q75NA5,Q8BMN3,0.05
Q75NA5,P12392,0.05
Q75NA5,P63138,0.24
Q75NA5,Q04844,0.05
Q75NA5,P18506,0.2
Q75NA5,O14764,0.2
Q75NA5,P27681,0.21
Q75NA5,P18507,0.21
Q75NA5,P17787,0.05
Q75NA5,P35563,0.08
Q75NA5,O70212,0.07
Q75NA5,P18508,0.21
Q75NA5,P22771,0.24
Q75NA5,P24524,0.25
Q75NA5,P48181,0.04
Q75NA5,P10064,0.18
Q75NA5,Q8N1C3,0.2
Q75NA5,Q9D6F4,0.23
Q75NA5,Q9GZZ6,0.05
Q75NA5,Q07001,0.06
Q75NA5,Q16445,0.21
Q75NA5,P30532,0.04
Q75NA5,P14867,0.18
Q75NA5,P23416,0.25
Q75NA5,P43143,0.07
Q75NA5,P63080,0.25
Q75NA5,O09028,0.2
Q75NA5,P02718,0.05
Q75NA5,Q05901,0.05
Q75NA5,Q8R493,0.05
Q75NA5,P18505,0.26
Q75NA5,P78334,0.18
Q75NA5,P30191,0.22
Q75NA5,P22723,0.21
Q75NA5,P46098,0.08
Q75NA5,P02714,0.05
Q75NA5,P26048,0.18
Q75NA5,P25109,0.06
Q75NA5,P23979,0.07
Q75NA5,O75311,0.25
Q75NA5,Q9JJ16,0.04
Q75NA5,P23415,0.25
Q75NA5,O70174,0.04
Q75NA5,P25162,0.06
Q75NA5,P08219,0.18
Q75NA5,P48169,0.24
Q75NA5,P09690,0.06
Q75NA5,Q8WXA8,0.07
Q75NA5,P16305,0.21
Q75NA5,P47869,0.18
Q75NA5,P43681,0.04
Q75NA5,P22300,0.21
Q75NA5,P47742,0.22
Q75NA5,Q9JLF1,0.22
Q75NA5,P34903,0.18
Q75NA5,P12391,0.05
Q75NA5,A8MPY1,0.21
Q75NA5,P02712,0.06
Q75NA5,Q9R0W9,0.06
Q75NA5,P50572,0.23
Q75NA5,P20420,0.04
Q75NA5,P10063,0.18
Q75NA5,P04756,0.04
Q75NA5,P08220,0.25
Q75NA5,P28476,0.23
Q75NA5,P11230,0.05
Q75NA5,P04757,0.06
Q75NA5,P20236,0.18
Q75NA5,P28472,0.25
Q75NA5,P23574,0.2
Q75NA5,Q401N2,0.04
Q75NA5,Q9N587,0.05
Q75NA5,Q9ES14,0.16
Q75NA5,Q8BHJ7,0.18
Q75NA5,Q05941,0.05
Q75NA5,Q9R0Y8,0.2
Q75NA5,Q9UGM1,0.06
Q75NA5,P12390,0.05
Q75NA5,P07727,0.25
Q75NA5,O00591,0.2
Q75NA5,Q9JHJ5,0.04
Q75NA5,P36544,0.06
Q75NA5,P20237,0.24
Q75NA5,P63079,0.25
Q75NA5,P22933,0.2
Q75NA5,P47870,0.26
Q75NA5,P20781,0.22
Q75NA5,P24046,0.23
Q75NA5,P50571,0.26
Q75NA5,P31644,0.18
Q75NA5,Q15822,0.04
Q75NA5,O95264,0.05
Q75NA5,Q15825,0.06
Q75NA5,Q23022,0.06
Q75NA5,Q99928,0.21
Q75NA5,P32297,0.05
Q75NA5,A5X5Y0,0.06
Q75NA5,P62813,0.18
Q75NA5,P12389,0.04
Q75NA5,Q9UN88,0.22
Q75NA5,P26049,0.18
P35575,P43428,0.84
Q9NYR8,P16544,0.13
Q9NYR8,Q8NBQ5,0.12
Q9NYR8,Q6PKH6,0.11
Q9NYR8,Q8VD48,0.12
Q9NYR8,Q9BPW9,0.12
Q9NYR8,P51661,0.12
Q9NYR8,Q9HBH5,0.08
Q9NYR8,P37058,0.09
Q9NYR8,Q99714,0.09
Q9NYR8,P0AEK2,0.13
Q9NYR8,Q02338,0.14
Q9NYR8,Q6UWP2,0.11
Q9NYR8,O54939,0.09
Q9NYR8,P51658,0.1
Q9NYR8,P14061,0.35
Q9NYR8,P0CG22,0.09
Q9NYR8,Q92781,0.12
Q9NYR8,P0AET8,0.08
Q9NYR8,P28845,0.1
Q9NYR8,P70385,0.1
Q9NYR8,Q7Z4W1,0.09
Q9NYR8,P16232,0.09
Q9NYR8,Q8NBN7,0.09
Q9NYR8,P37059,0.08
Q9NYR8,P19992,0.12
Q9NYR8,Q9BTZ2,0.12
Q9NYR8,Q84EX5,0.08
Q9NYR8,O75911,0.08
Q9NYR8,Q48436,0.1
Q9NYR8,P51659,0.09
Q9NYR8,O14756,0.12
Q9NYR8,P50172,0.09
Q9NYR8,P80365,0.11
Q9NYR8,P50233,0.13
Q9NYR8,Q9WYS2,0.1
P45877,P30405,0.43
P45877,P62937,0.43
P45877,Q13427,0.41
P45877,P10111,0.43
P45877,O43447,0.43
P45877,P23284,0.65
P45877,P0AFL3,0.12
P23526,P50250,0.53
P23526,P50247,0.97
P23526,P10760,0.97
P04799,Q04468,0.15
P04799,Q02318,0.08
P04799,P04798,0.66
P04799,P10611,0.06
P04799,Q09128,0.09
P04799,P11511,0.05
P04799,P22443,0.05
P04799,P49430,0.07
P04799,Q16850,0.08
P04799,P14137,0.05
P04799,Q02928,0.07
P04799,P20815,0.09
P04799,P08686,0.15
P04799,P11712,0.2
P04799,P49264,0.15
P04799,P33261,0.19
P04799,Q07973,0.09
P04799,P10632,0.2
P04799,P33260,0.19
P04799,P05108,0.05
P04799,P08683,0.19
P04799,O31440,0.05
P04799,P08516,0.07
P04799,P11715,0.22
P04799,P10635,0.2
P04799,P05181,0.21
P04799,P05177,0.76
P04799,P20852,0.21
P04799,Q16678,0.34
P04799,P05093,0.22
P04799,P00185,0.69
P04799,P13108,0.2
P04799,P05182,0.2
P04799,Q64654,0.08
P04799,O15528,0.08
P04799,P50859,0.06
P04799,P11509,0.21
P04799,Q43054,0.14
P04799,P10613,0.05
P04799,P78329,0.06
P04799,P20813,0.19
P04799,P51589,0.22
P04799,P20817,0.06
P04799,P08684,0.1
P04799,Q7Z1V1,0.06
P04799,P24557,0.08
P22935,P05413,0.37
P22935,P02692,0.19
P22935,P12104,0.22
P22935,Q01469,0.28
P22935,P82980,0.32
P22935,P09455,0.34
P22935,P29498,0.24
P22935,P40220,0.75
P22935,P07148,0.18
P22935,P50120,0.3
P22935,Q96R05,0.31
P22935,P15090,0.28
P22935,P62965,0.75
P22935,P02689,0.34
O15438,Q09429,0.13
O15438,P21440,0.05
O15438,P21447,0.06
O15438,O15439,0.26
O15438,Q63120,0.43
O15438,P13569,0.09
O15438,O60706,0.23
O15438,O95477,0.02
O15438,Q9UNQ0,0.02
O15438,O95342,0.05
O15438,O70127,0.06
O15438,P33527,0.56
O15438,Q63563,0.23
O15438,P45844,0.02
O15438,P06795,0.07
O15438,O15440,0.2
O15438,Q09428,0.22
O15438,Q2M3G0,0.05
O15438,Q92887,0.43
O15438,P08183,0.05
O15438,P43071,0.02
P17538,P04070,0.26
P17538,P22891,0.13
P17538,O00187,0.18
P17538,Q63207,0.23
P17538,Q9Y5Y6,0.3
P17538,P00775,0.17
P17538,Q9NRS4,0.3
P17538,P08311,0.22
P17538,Q16651,0.31
P17538,P00742,0.24
P17538,Q9NRR2,0.28
P17538,P08419,0.34
P17538,P00763,0.34
P17538,P00760,0.31
P17538,P00747,0.32
P17538,P00743,0.25
P17538,Q99895,0.35
P17538,P00766,0.78
P17538,P10323,0.24
P17538,Q01177,0.32
P17538,P14210,0.2
P17538,P00736,0.15
P17538,P00774,0.33
P17538,P49862,0.27
P17538,P10144,0.2
P17538,O19045,0.25
P17538,P03951,0.32
P17538,P35030,0.32
P17538,Q92876,0.25
P17538,P18292,0.24
P17538,P00735,0.24
P17538,P08217,0.32
P17538,P08519,0.3
P17538,P23946,0.23
P17538,Q9Y337,0.25
P17538,P20231,0.31
P17538,Q9P0G3,0.26
P17538,P00746,0.25
P17538,P19221,0.25
P17538,P09871,0.22
P17538,P06870,0.26
P17538,P00761,0.32
P17538,P00772,0.28
P17538,P00734,0.25
P17538,Q61096,0.21
P17538,P00749,0.26
P17538,P06869,0.25
P17538,Q14520,0.29
P17538,P28293,0.22
P17538,P00750,0.24
P17538,Q29463,0.33
P17538,P03952,0.32
P17538,Q3UP87,0.2
P17538,P29598,0.27
P17538,P08709,0.24
P17538,P07288,0.27
P17538,Q15661,0.31
P17538,Q9UNI1,0.28
P17538,P24158,0.2
P17538,P07478,0.33
P17538,P07477,0.32
P17538,P00740,0.27
P17538,Q9BZJ3,0.26
P17538,P00751,0.13
P17538,Q9Y5K2,0.2
P17538,P05981,0.29
P17538,P20918,0.32
P17538,P00748,0.24
P17538,P08246,0.18
P17538,P04185,0.26
P35346,Q99500,0.1
P35346,P41231,0.18
P35346,P18825,0.11
P35346,P37288,0.13
P35346,Q9H1C0,0.14
P35346,P29276,0.1
P35346,P30939,0.08
P35346,Q9H244,0.12
P35346,P51582,0.17
P35346,Q16581,0.11
P35346,P21462,0.16
P35346,P21917,0.08
P35346,P15823,0.13
P35346,Q6Y1R5,0.15
P35346,P18841,0.13
P35346,P08485,0.09
P35346,Q8BLD9,0.14
P35346,Q63634,0.08
P35346,Q61616,0.14
P35346,P21761,0.13
P35346,P28647,0.08
P35346,P70596,0.07
P35346,P46663,0.15
P35346,P19020,0.11
P35346,P25024,0.15
P35346,P32248,0.18
P35346,Q8K5E0,0.06
P35346,O08726,0.22
P35346,P10608,0.15
P35346,P06199,0.11
P35346,P22909,0.12
P35346,O54814,0.18
P35346,P51680,0.19
P35346,P25099,0.09
P35346,P41146,0.3
P35346,P33032,0.08
P35346,P35364,0.1
P35346,P18130,0.15
P35346,P50391,0.11
P35346,P08483,0.09
P35346,P30873,0.42
P35346,Q00788,0.13
P35346,P18089,0.1
P35346,P32305,0.11
P35346,Q01338,0.12
P35346,P49652,0.16
P35346,O60755,0.15
P35346,Q9H228,0.07
P35346,P08911,0.09
P35346,P51685,0.16
P35346,P41144,0.29
P35346,P49019,0.14
P35346,P25021,0.14
P35346,P46092,0.07
P35346,P30968,0.07
P35346,P61168,0.13
P35346,P47745,0.09
P35346,P30543,0.1
P35346,P34968,0.11
P35346,P49682,0.13
P35346,P48748,0.14
P35346,P19328,0.11
P35346,Q924U1,0.18
P35346,Q9Y5N1,0.08
P35346,P35344,0.17
P35346,Q99527,0.15
P35346,P30555,0.2
P35346,O43614,0.15
P35346,P30966,0.11
P35346,O55193,0.19
P35346,P08172,0.11
P35346,Q92847,0.15
P35346,O43613,0.15
P35346,Q9GJU1,0.13
P35346,P70310,0.07
P35346,P51436,0.07
P35346,P31390,0.1
P35346,Q9BXA5,0.14
P35346,P18090,0.14
P35346,Q6XKD3,0.09
P35346,Q60612,0.09
P35346,P41595,0.1
P35346,P48145,0.27
P35346,Q920H4,0.09
P35346,P51050,0.12
P35346,P51683,0.19
P35346,Q96G91,0.1
P35346,P08908,0.09
P35346,P10980,0.11
P35346,Q75Z89,0.12
P35346,P58406,0.09
P35346,P56481,0.1
P35346,P55085,0.14
P35346,O77700,0.1
P35346,P16177,0.13
P35346,Q9BDQ5,0.16
P35346,P97266,0.14
P35346,P32246,0.19
P35346,P51679,0.18
P35346,P79291,0.19
P35346,P28336,0.15
P35346,P25100,0.16
P35346,P30874,0.51
P35346,P29275,0.11
P35346,P48039,0.14
P35346,P33534,0.29
P35346,P51677,0.16
P35346,P04274,0.15
P35346,P08588,0.13
P35346,P30994,0.1
P35346,Q8TDS5,0.11
P35346,P19327,0.09
P35346,P34969,0.11
P35346,P30728,0.11
P35346,P70536,0.13
P35346,P31388,0.09
P35346,P28566,0.08
P35346,Q28838,0.12
P35346,P30560,0.14
P35346,Q969F8,0.19
P35346,Q9ERZ4,0.11
P35346,Q95136,0.14
P35346,P21554,0.07
